sample	Cruise	Cruise Name	Station	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRATE_D_CONC_BOTTLE [umol/kg]	Cd_D_CONC_BOTTLE [nmol/kg]	Cu_D_CONC_BOTTLE [nmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Mn_D_CONC_BOTTLE [nmol/kg]	Ni_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]
S0384	GP13	TAN1109-2 - GP13 Leg2	7013	1877172	1153175	-32.508	-162.015	16	5364	16.1	19.593	35.485001	NA	NA	217.8000	NA	0.653659	0.019512	0.002541	0.4	0.184	0.85	2.260000	12.6	0.14
S0385	GP13	TAN1109-2 - GP13 Leg2	7013	1877172	1153148	-32.508	-162.015	30	5364	30.2	19.562	35.481998	NA	NA	218.6000	NA	0.682927	0.019512	0.003	0.4	0.186	0.99	2.090000	11.7	0.2
S0386	GP13	TAN1109-2 - GP13 Leg2	7013	1877172	1153142	-32.508	-162.015	52	5364	52.4	19.474	35.486	NA	NA	218.8000	NA	0.643902	0.019512	0.0041	0.37	0.127	0.96	2.080000	13.48	0.17
S0387	GP13	TAN1109-2 - GP13 Leg2	7013	1877172	1153136	-32.508	-162.015	76	5364	76.6	19.47	35.491001	NA	NA	218.5000	NA	0.634146	0.019512	0.0037	0.37	0.12	0.95	2.100000	12.14	0.15
S0388	GP13	TAN1109-2 - GP13 Leg2	7013	1877172	1153130	-32.508	-162.015	101	5364	101.7	19.401	35.491001	NA	NA	218.9000	NA	0.653659	0.019512	0.0036	0.39	0.131	0.89	2.080000	10.19	0.14
S0394	GP13	TAN1109-2 - GP13 Leg2	7015	1877207	1155413	-32.5075	-160.011	15	5301	15.1	18.904	35.425999	NA	NA	220.6000	NA	NA	0.019512	NA	NA	NA	NA	NA	NA	NA
S0395	GP13	TAN1109-2 - GP13 Leg2	7015	1877207	1155410	-32.5075	-160.011	32	5301	32.2	18.912	35.429001	NA	NA	220.8000	NA	NA	0.019512	NA	NA	NA	NA	NA	NA	NA
S0396	GP13	TAN1109-2 - GP13 Leg2	7015	1877207	1155404	-32.5075	-160.011	49	5301	49.4	18.925	35.431	NA	NA	220.3000	NA	NA	0.019512	NA	NA	NA	NA	NA	NA	NA
S0397	GP13	TAN1109-2 - GP13 Leg2	7015	1877207	1155398	-32.5075	-160.011	72	5301	72.5	18.651	35.409	NA	NA	222.3000	NA	NA	0.019512	NA	NA	NA	NA	NA	NA	NA
S0398	GP13	TAN1109-2 - GP13 Leg2	7015	1877207	1155392	-32.5075	-160.011	102	5301	102.7	17.8	35.401001	NA	NA	226.0000	NA	NA	0.019512	NA	NA	NA	NA	NA	NA	NA
S0337	GP13	TAN1109-2 - GP13 Leg2	7011	1877130	1152896	-32.5055	-163.99001	17	5713	17.1	19.398	35.469002	NA	NA	219.2000	NA	0.702439	0.019512	0.0041	0.38	0.158	0.59	1.940000	11.42	0.11
S0338	GP13	TAN1109-2 - GP13 Leg2	7011	1877130	1152887	-32.5055	-163.99001	31	5713	31.2	19.405	35.467999	NA	NA	218.7000	NA	0.692683	0.019512	0.0036	0.37	0.149	0.82	1.940000	12.31	0.11
S0339	GP13	TAN1109-2 - GP13 Leg2	7011	1877130	1152881	-32.5055	-163.99001	51	5713	51.4	19.404	35.469002	NA	NA	218.8000	NA	0.692683	0.019512	0.0033	0.35	0.142	0.86	1.950000	12.41	0.11
S0340	GP13	TAN1109-2 - GP13 Leg2	7011	1877130	1152875	-32.5055	-163.99001	76	5713	76.6	19.329	35.458	NA	NA	219.8000	NA	0.692683	0.019512	0.0029	0.38	0.159	0.88	1.950000	12.07	0.12
S0341	GP13	TAN1109-2 - GP13 Leg2	7011	1877130	1152866	-32.5055	-163.99001	102	5713	102.7	19.269	35.460999	NA	NA	219.6000	NA	0.663415	0.019512	0.0026	0.4	0.162	0.94	1.960000	11.19	0.09
S0379	GP13	TAN1109-2 - GP13 Leg2	7012	1877151	1153013	-32.5039	-162.99699	15	5328	15.1	19.463	35.486	NA	NA	218.6000	NA	0.634146	0.019512	0.0039	0.46	0.153	0.96	1.920000	11.32	0.15
S0380	GP13	TAN1109-2 - GP13 Leg2	7012	1877151	1153007	-32.5039	-162.99699	33	5328	33.2	19.461	35.486	NA	NA	218.8000	NA	0.634146	0.019512	0.0046	0.54	0.149	0.9	1.910000	12.2	0.14
S0381	GP13	TAN1109-2 - GP13 Leg2	7012	1877151	1153001	-32.5039	-162.99699	50	5328	50.4	19.469	35.486	NA	NA	218.3000	NA	0.643902	0.019512	0.0032	0.46	0.203	0.9	1.920000	13.24	0.15
S0382	GP13	TAN1109-2 - GP13 Leg2	7012	1877151	1152995	-32.5039	-162.99699	75	5328	75.5	19.471	35.485001	NA	NA	218.5000	NA	0.634146	0.019512	0.0015	0.46	0.219	0.86	1.880000	13.43	0.12
S0383	GP13	TAN1109-2 - GP13 Leg2	7012	1877151	1152989	-32.5039	-162.99699	102	5328	102.7	19.479	35.486	NA	NA	218.6000	NA	0.663415	0.019512	0.0028	0.54	0.26	0.84	1.990000	11.06	0.11
S0377	GP13	TAN1109-2 - GP13 Leg2	7010	1877102	1152704	-32.5037	-164.991	15	4925	15.1	19.338	35.382999	NA	NA	220.2000	NA	0.712195	0.019512	0.0219	0.4	0.174	0.82	1.910000	11.56	0.4
S0378	GP13	TAN1109-2 - GP13 Leg2	7010	1877102	1154522	-32.5037	-164.991	28	4925	28.2	19.38	35.445999	NA	NA	219.7000	NA	0.721951	0.019512	0.0054	0.35	0.098	0.8	1.850000	11.48	0.07
S0331	GP13	TAN1109-2 - GP13 Leg2	7010	1877102	1154516	-32.5037	-164.991	50	4925	50.4	19.378	35.473999	NA	NA	218.8000	NA	0.712195	0.019512	0.0048	0.35	0.098	0.83	1.860000	15.04	0.07
S0332	GP13	TAN1109-2 - GP13 Leg2	7010	1877102	1154510	-32.5037	-164.991	75	4925	75.5	19.333	35.471001	NA	NA	219.7000	NA	0.712195	0.019512	0.0052	0.34	0.127	0.82	1.860000	11.37	0.06
S0333	GP13	TAN1109-2 - GP13 Leg2	7010	1877102	1154504	-32.5037	-164.991	100	4925	100.7	19.28	35.465	NA	NA	219.9000	NA	0.673171	0.019512	0.004391	0.34	0.105	0.8	1.840000	10.67	0.06
S0334	GP13	TAN1109-2 - GP13 Leg2	7010	1877102	1154486	-32.5037	-164.991	204	4925	205.5	16.617	35.347	NA	NA	208.0000	NA	0.917073	1.229268	0.027174	0.34	0.145	0.52	2.010000	17.15	0.1
S0335	GP13	TAN1109-2 - GP13 Leg2	7010	1877102	1152842	-32.5037	-164.991	1023	4925	1032.8	5.032	34.306999	NA	NA	204.4000	NA	9.804878	24.078049	NA	NA	NA	NA	NA	NA	NA
S0336	GP13	TAN1109-2 - GP13 Leg2	7010	1877102	1152779	-32.5037	-164.991	5100	4925	5198.3999	1.043	34.707001	NA	NA	200.1000	NA	118.20488	32.136585	NA	NA	NA	NA	NA	NA	NA
S0345	GP13	TAN1109-2 - GP13 Leg2	7019	1877298	1156046	-32.5035	-156.009	15	5353	15.1	18.828	35.414001	NA	NA	220.0000	NA	0.673171	0.019512	0.00195	1.32	0.164	0.8	1.950000	9.96	0.22
S0346	GP13	TAN1109-2 - GP13 Leg2	7019	1877298	1156019	-32.5035	-156.009	31	5353	31.2	18.828	35.414001	NA	NA	220.3000	NA	0.673171	0.019512	0.0031	0.72	0.242	0.73	1.980000	10.93	0.21
S0347	GP13	TAN1109-2 - GP13 Leg2	7019	1877298	1156013	-32.5035	-156.009	52	5353	52.4	18.833	35.414001	NA	NA	220.2000	NA	0.663415	0.019512	0.0047	0.47	0.143	0.8	2.160000	12.19	0.21
S0348	GP13	TAN1109-2 - GP13 Leg2	7019	1877298	1156007	-32.5035	-156.009	77	5353	77.6	18.833	35.414001	NA	NA	219.9000	NA	0.663415	0.019512	0.0047	0.47	0.143	0.8	2.160000	12.19	0.21
S0349	GP13	TAN1109-2 - GP13 Leg2	7019	1877298	1156001	-32.5035	-156.009	102	5353	102.7	18.814	35.409	NA	NA	220.4000	NA	0.673171	0.019512	0.0029	0.65	0.247	0.69	2.020000	11.39	0.24
S0406	GP13	TAN1109-2 - GP13 Leg2	7023	1877403	1156682	-32.5029	-151.99699	15	5171	15.1	18.995	35.452999	NA	NA	219.5000	NA	0.97561	0.019512	4.98e-4	0.94	0.144	0.9	1.930000	13.71	0.15
S0407	GP13	TAN1109-2 - GP13 Leg2	7023	1877403	1156655	-32.5029	-151.99699	30	5171	30.2	18.974	35.451	NA	NA	219.4000	NA	0.75122	0.019512	0.003	0.94	0.144	0.9	1.930000	13.71	0.15
S0408	GP13	TAN1109-2 - GP13 Leg2	7023	1877403	1156649	-32.5029	-151.99699	52	5171	52.4	18.947	35.443001	NA	NA	219.5000	NA	0.712195	0.039024	0.0032	0.43	0.121	0.83	1.920000	12.82	0.06
S0409	GP13	TAN1109-2 - GP13 Leg2	7023	1877403	1156643	-32.5029	-151.99699	75	5171	75.5	18.888	35.425999	NA	NA	220.0000	NA	0.682927	0.087805	0.0032	0.43	0.121	0.83	1.920000	12.82	0.06
S0410	GP13	TAN1109-2 - GP13 Leg2	7023	1877403	1156637	-32.5029	-151.99699	102	5171	102.7	18.679	35.403	NA	NA	220.7000	NA	0.692683	0.146341	NA	NA	NA	NA	NA	NA	NA
S0389	GP13	TAN1109-2 - GP13 Leg2	7014	1877193	1153316	-32.5008	-160.99899	15	5146	15.1	19.079	35.449001	NA	NA	220.1000	NA	0.760976	0.019512	0.002205	0.68	0.143	0.87	1.930000	11.12	0.1
S0390	GP13	TAN1109-2 - GP13 Leg2	7014	1877193	1153289	-32.5008	-160.99899	30	5146	30.2	19.079	35.449001	NA	NA	220.0000	NA	0.741463	0.019512	0.0041	0.63	0.12	0.87	1.920000	12.2	0.2
S0391	GP13	TAN1109-2 - GP13 Leg2	7014	1877193	1153283	-32.5008	-160.99899	50	5146	50.4	19.086	35.448002	NA	NA	219.8000	NA	0.770732	0.019512	0.0033	0.35	0.126	0.99	1.930000	12.69	0.11
S0392	GP13	TAN1109-2 - GP13 Leg2	7014	1877193	1153277	-32.5008	-160.99899	73	5146	73.5	19.076	35.445999	NA	NA	219.8000	NA	0.770732	0.019512	0.0043	0.97	0.116	0.88	1.940000	11.39	0.11
S0393	GP13	TAN1109-2 - GP13 Leg2	7014	1877193	1153271	-32.5008	-160.99899	100	5146	100.7	18.712	35.380001	NA	NA	222.7000	NA	0.790244	0.019512	0.0028	0.75	0.098	0.86	1.970000	10.44	0.1
S0316	GP13	SS2011-1 - GP13 Leg1	Station 38	1899684	1223312	-32.5001	-170	NA	5499	15.5	19.652	35.497002	NA	NA	NA	0.04878	0.887805	0.019512	NA	NA	NA	NA	NA	NA	NA
S0317	GP13	SS2011-1 - GP13 Leg1	Station 38	1899684	1223306	-32.5001	-170	NA	5499	28.4	19.654	35.497002	NA	NA	NA	0.039024	0.878049	0.019512	NA	NA	NA	NA	NA	NA	NA
S0318	GP13	SS2011-1 - GP13 Leg1	Station 38	1899684	1223300	-32.5001	-170	NA	5499	48.6	19.661	35.498001	35.488998	227.79512	NA	0.039024	0.887805	0.019512	NA	NA	NA	NA	NA	NA	NA
S0319	GP13	SS2011-1 - GP13 Leg1	Station 38	1899684	1224245	-32.5001	-170	NA	5499	76	19.634	35.514999	NA	NA	NA	0.04878	0.887805	0.019512	NA	NA	NA	NA	NA	NA	NA
S0320	GP13	SS2011-1 - GP13 Leg1	Station 38	1899684	1223297	-32.5001	-170	NA	5499	100.3	17.727	35.48	NA	NA	NA	0.087805	1.043902	0.019512	NA	NA	NA	NA	NA	NA	NA
S0321	GP13	SS2011-1 - GP13 Leg1	Station 38	1899684	1222625	-32.5001	-170	NA	5499	1001.5	5.101	34.338001	34.331001	207.141464	NA	2.009756	24.712194	29.77561	NA	NA	NA	NA	NA	NA	NA
S0322	GP13	SS2011-1 - GP13 Leg1	Station 36	1899698	1222715	-32.4998	-171.99899	NA	4850	15.1	19.696	35.542999	NA	NA	NA	0.039024	0.878049	0.019512	NA	NA	NA	NA	NA	NA	NA
S0323	GP13	SS2011-1 - GP13 Leg1	Station 36	1899698	1222706	-32.4998	-171.99899	NA	4850	30.9	19.661	35.544998	NA	NA	NA	0.039024	0.897561	0.019512	NA	NA	NA	NA	NA	NA	NA
S0324	GP13	SS2011-1 - GP13 Leg1	Station 36	1899698	1222700	-32.4998	-171.99899	NA	4850	49.8	19.564	35.537998	35.528	228.585373	NA	0.04878	0.907317	0.019512	NA	NA	NA	NA	NA	NA	NA
S0325	GP13	SS2011-1 - GP13 Leg1	Station 36	1899698	1222742	-32.4998	-171.99899	NA	4850	75.1	19.467	35.526001	NA	NA	NA	0.04878	0.926829	0.019512	NA	NA	NA	NA	NA	NA	NA
S0326	GP13	SS2011-1 - GP13 Leg1	Station 36	1899698	1222739	-32.4998	-171.99899	NA	4850	100.3	17.184	35.388	NA	NA	NA	0.146341	1.24878	0.458537	NA	NA	NA	NA	NA	NA	NA
S0420	GP13	SS2011-1 - GP13 Leg1	Station 29	1899656	1223060	-32.4995	-179.125	NA	1420	15.6	20.685	35.629002	NA	NA	NA	0.039024	0.858537	0.019512	NA	NA	NA	NA	NA	NA	NA
S0421	GP13	SS2011-1 - GP13 Leg1	Station 29	1899656	1223054	-32.4995	-179.125	NA	1420	29.5	20.686	35.627998	NA	NA	NA	0.039024	0.848781	0.019512	NA	NA	NA	NA	NA	NA	NA
S0422	GP13	SS2011-1 - GP13 Leg1	Station 29	1899656	1223048	-32.4995	-179.125	NA	1420	51.1	20.689	35.629002	35.623001	222.682938	NA	0.029268	0.848781	0.019512	NA	NA	NA	NA	NA	NA	NA
S0423	GP13	SS2011-1 - GP13 Leg1	Station 29	1899656	1223090	-32.4995	-179.125	NA	1420	74.7	20.71	35.636002	NA	NA	NA	0.039024	0.848781	0.019512	NA	NA	NA	NA	NA	NA	NA
S0424	GP13	SS2011-1 - GP13 Leg1	Station 29	1899656	1223087	-32.4995	-179.125	NA	1420	99.9	18.853	35.588001	NA	NA	NA	0.195122	1.307317	2.04878	NA	NA	NA	NA	NA	NA	NA
S0425	GP13	SS2011-1 - GP13 Leg1	Station 29	1899656	1223069	-32.4995	-179.125	NA	1420	1001.5	5.19	34.386002	34.379002	199.960983	NA	2.009756	30.078049	29.648781	NA	NA	NA	NA	NA	NA	NA
S0283	GP13	SS2011-1 - GP13 Leg1	Station 32	1899677	1224224	-32.4995	-176.03	NA	5580	14.9	20.118	35.522999	NA	NA	NA	0.058537	1.014634	0.019512	NA	NA	NA	NA	NA	NA	NA
S0284	GP13	SS2011-1 - GP13 Leg1	Station 32	1899677	1223207	-32.4995	-176.03	NA	5580	29.3	20.078	35.511002	NA	NA	NA	0.058537	1.014634	0.019512	NA	NA	NA	NA	NA	NA	NA
S0285	GP13	SS2011-1 - GP13 Leg1	Station 32	1899677	1223204	-32.4995	-176.03	NA	5580	48.9	19.998	35.488998	35.48	223.131714	NA	0.068293	1.043902	0.019512	NA	NA	NA	NA	NA	NA	NA
S0286	GP13	SS2011-1 - GP13 Leg1	Station 32	1899677	1224218	-32.4995	-176.03	NA	5580	76.8	19.996	35.487	NA	NA	NA	0.078049	1.034146	0.019512	NA	NA	NA	NA	NA	NA	NA
S0287	GP13	SS2011-1 - GP13 Leg1	Station 32	1899677	1223198	-32.4995	-176.03	NA	5580	100.3	17.67	35.534	NA	NA	NA	0.243902	1.580488	2.253659	NA	NA	NA	NA	NA	NA	NA
S0288	GP13	SS2011-1 - GP13 Leg1	Station 32	1899677	1223225	-32.4995	-176.03	NA	5580	999.9	5.315	34.355	34.348999	206.243896	NA	1.990244	24.312195	29.287806	NA	NA	NA	NA	NA	NA	NA
S0439	GP13	TAN1109-2 - GP13 Leg2	7006	1877018	1154021	-32.4977	-168.99899	17	5293	17.1	19.142	35.519001	NA	NA	221.5000	NA	0.731707	0.019512	0.002355	0.86	0.094	0.74	2.070000	10.35	0.13
S0440	GP13	TAN1109-2 - GP13 Leg2	7006	1877018	1154009	-32.4977	-168.99899	32	5293	32.2	19.086	35.514999	NA	NA	221.2000	NA	0.731707	0.019512	0.0039	0.54	0.132	0.76	2.090000	11	0.21
S0441	GP13	TAN1109-2 - GP13 Leg2	7006	1877018	1154003	-32.4977	-168.99899	52	5293	52.4	19.035	35.515999	NA	NA	221.9000	NA	0.741463	0.019512	0.0041	0.57	0.127	0.77	2.070000	12.75	0.14
S0442	GP13	TAN1109-2 - GP13 Leg2	7006	1877018	1153997	-32.4977	-168.99899	76	5293	76.6	19.003	35.526001	NA	NA	221.2000	NA	0.75122	0.019512	0.0036	0.72	0.092	0.73	2.090000	9.92	0.14
S0443	GP13	TAN1109-2 - GP13 Leg2	7006	1877018	1153991	-32.4977	-168.99899	101	5293	101.7	18.876	35.512001	NA	NA	221.7000	NA	0.731707	0.019512	0.0039	0.58	0.124	0.77	2.090000	9.76	0.14
S0253	GP13	TAN1109-2 - GP13 Leg2	7017	1877263	1155698	-32.4967	-158.013	14	5499	14.1	19.267	35.484001	NA	NA	218.3000	NA	0.75122	0.019512	0.002634	0.35	0.057	1.03	1.950000	11.83	0.1
S0254	GP13	TAN1109-2 - GP13 Leg2	7017	1877263	1155674	-32.4967	-158.013	31	5499	31.2	19.278	35.485001	NA	NA	218.4000	NA	0.731707	0.019512	0.0092	0.35	0.073	0.98	1.960000	15.63	0.1
S0255	GP13	TAN1109-2 - GP13 Leg2	7017	1877263	1155668	-32.4967	-158.013	51	5499	51.4	19.272	35.483002	NA	NA	218.4000	NA	0.741463	0.019512	0.004	0.36	0.087	1.03	2.100000	15.54	0.18
S0256	GP13	TAN1109-2 - GP13 Leg2	7017	1877263	1155662	-32.4967	-158.013	76	5499	76.6	19.283	35.484001	NA	NA	218.1000	NA	0.741463	0.019512	0.003594	0.35	0.064	0.97	2.000000	14.66	0.14
S0257	GP13	TAN1109-2 - GP13 Leg2	7017	1877263	1155656	-32.4967	-158.013	100	5499	100.7	18.326	35.48	NA	NA	215.7000	NA	0.741463	0.019512	0.0049	0.32	0.098	0.85	2.010000	12.79	0.07
S0258	GP13	TAN1109-2 - GP13 Leg2	7017	1877263	1155638	-32.4967	-158.013	202	5499	203.5	15.273	35.242001	NA	NA	200.2000	NA	1.356098	4.507317	0.048445	0.37	0.127	0.35	2.480000	11.54	0.09
S0259	GP13	TAN1109-2 - GP13 Leg2	7017	1877263	1155833	-32.4967	-158.013	1008	5499	1017.6	4.949	34.314999	NA	NA	200.4000	NA	23.473171	29.307318	0.5093	1.16	0.469	0.26	5.540000	12.15	1.61
S0260	GP13	TAN1109-2 - GP13 Leg2	7017	1877263	1155776	-32.4967	-158.013	5601	5499	5715.6001	1.153	34.708	NA	NA	198.8000	NA	115.79512	31.873171	NA	NA	NA	NA	NA	NA	NA
S0355	GP13	TAN1109-2 - GP13 Leg2	7021	1877354	1156325	-32.496	-154.004	15	4840	15.1	18.087	35.305	NA	NA	223.6000	NA	0.995122	0.146341	0.001904	0.39	0.108	0.68	2.040000	10.53	0.09
S0356	GP13	TAN1109-2 - GP13 Leg2	7021	1877354	1156301	-32.496	-154.004	32	4840	32.2	18.082	35.299999	NA	NA	223.5000	NA	1.131707	0.019512	0.0036	0.31	0.105	0.76	2.020000	11.41	0.07
S0357	GP13	TAN1109-2 - GP13 Leg2	7021	1877354	1156295	-32.496	-154.004	51	4840	51.4	18.089	35.303001	NA	NA	223.4000	NA	0.8	0.019512	0.0025	0.32	0.09	0.74	2.030000	11.03	0.07
S0358	GP13	TAN1109-2 - GP13 Leg2	7021	1877354	1156289	-32.496	-154.004	77	4840	77.6	18.094	35.303001	NA	NA	222.8000	NA	1.063415	0.019512	0.0025	0.32	0.09	0.74	2.030000	11.03	0.07
S0359	GP13	TAN1109-2 - GP13 Leg2	7021	1877354	1156283	-32.496	-154.004	100	4840	100.7	18.031	35.283001	NA	NA	223.1000	NA	1.014634	0.019512	0.0036	0.34	0.115	0.7	2.040000	10.93	0.06
S0360	GP13	TAN1109-2 - GP13 Leg2	7021	1877354	1156265	-32.496	-154.004	201	4840	202.5	15.005	35.257	NA	NA	196.0000	NA	1.746341	5.717073	0.022	0.37	0.106	0.41	2.430000	11.46	0.07
S0361	GP13	TAN1109-2 - GP13 Leg2	7021	1877354	1156466	-32.496	-154.004	1008	4840	1017.6	4.913	34.306999	NA	NA	202.4000	NA	22.936584	29.024389	0.554206	1	0.211	0.13	5.390000	12.15	1.61
S0362	GP13	TAN1109-2 - GP13 Leg2	7021	1877354	1156412	-32.496	-154.004	5095	4840	5193.2002	1.116	34.709	NA	NA	196.6000	NA	116.20488	31.843903	NA	NA	NA	NA	NA	NA	NA
S0444	GP13	TAN1109-2 - GP13 Leg2	7007	1877039	1154183	-32.4955	-168.002	15	5542	15.1	19.686	35.556	NA	NA	217.5000	NA	0.673171	0.019512	0.002377	0.4	0.08	0.87	1.830000	8.24	0.1
S0445	GP13	TAN1109-2 - GP13 Leg2	7007	1877039	1154156	-32.4955	-168.002	30	5542	30.2	19.69	35.556	NA	NA	217.9000	NA	0.653659	0.019512	0.0035	0.39	0.098	0.77	1.920000	10.28	0.1
