GOLD Biosample ID	Biosample Name	Habitat	Location	Add Date	Sample Collection Site	Sample Collection Year	Sample Collection Month	Sample Collection Day	Latitude	Longitude	LatLong Information
Gb0056508	Marine microbial communities from Polynesia - GS047 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Polynesia 	2004 	3 	28 	-10.131389 	-135.44945 	Verified 
Gb0056507	Marine microbial communities from Polynesia - GS045 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Polynesia 	2004 	3 	26 	-9.0175 	-127.76722 	Verified 
Gb0056506	Marine microbial communities from Polynesia - GS044 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Polynesia 	2004 	3 	24 	-8.415 	-124.23972 	Verified 
Gb0056505	Marine microbial communities from the Tropical South Pacific Ocean - GS043 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	South Pacific Ocean 	2004 	3 	24 	-7.661111 	-116.11916 	Verified 
Gb0056504	Marine microbial communities from the Tropical South Pacific Ocean - GS042 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	South Pacific Ocean 	2004 	3 	23 	-7.1075 	-116.11916 	Verified 
Gb0056503	Marine microbial communities from the Tropical South Pacific Ocean - GS041 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	South Pacific Ocean 	2004 	3 	21 	-5.93 	-108.68694 	Verified 
Gb0056502	Marine microbial communities from the Tropical South Pacific Ocean - GS040 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	South Pacific Ocean 	2004 	3 	20 	-4.498889 	-105.07 	Verified 
Gb0056501	Marine microbial communities from the Tropical South Pacific Ocean - GS038 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	South Pacific Ocean 	2004 	3 	18 	-2.5819445 	-97.85139 	Verified 
Gb0056500	Marine ecosystem from Equatorial Pacific Ocean 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Equatorial Pacific Ocean 	2004 	3 	17 	-1.9738889 	-95.014725 	Verified 
Gb0056493	Hypersaline ecosystem from Punta Cormorant, Floreana Island, Equador 	Hypersaline 	from Global Ocean Sampling (GOS) 	2013-09-23 	Punta Cormorant, Floreana Island, Equador 	2004 	2 	19 	-1.2283334 	-90.42917 	Verified 
Gb0056492	Marine ecosystem from Devil's Crown, Floreana Island, Equador 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Devil's Crown, Floreana Island, Equador 	2004 	2 	4 	-1.2161111 	-90.422775 	Verified 
Gb0056491	Marine ecosystem from Galapagos, Equador 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Galapagos, Equador 	2004 	2 	1 	1.2641667 	-90.295 	Verified 
Gb0056490	Coral reef ecosystem from Dirty Rock, Cocos Island, Costa Rica 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Dirty Rock, Cocos Island, Costa Rica 	2004 	1 	28 	5.552778 	-87.087776 	Verified 
Gb0056489	Marine ecosystem from Cocos Island, Costa Rica 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Cocos Island, Costa Rica 	2004 	1 	21 	5.64 	-86.56528 	Verified 
Gb0056488	Marine ecosystem from Panama City, Panama 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Panama City, Panama 	2004 	1 	19 	6.492778 	-82.90389 	Verified 
Gb0056487	Marine ecosystem from Nags Head, North Carolina, USA 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Nags Head, North Carolina, USA 	2003 	12 	19 	38.946945 	-76.41722 	Verified 
Gb0056486	Marine microbial communities from Chesapeake Bay, Maryland, USA - GS012 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Chesapeake Bay, Maryland, USA 	2003 	12 	18 	38.946945 	-76.41722 	Verified 
Gb0056452	Marine ecosystem from Delaware Bay, New Jersey, USA 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Delaware Bay, New Jersey, USA 	2003 	11 	18 	39.417778 	-75.504166 	Verified 
Gb0056451	Marine ecosystem from Block Island, New York, USA 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Block Island, New York, USA 	2003 	11 	18 	41.09111 	-71.60222 	Verified 
Gb0056450	Estuary ecosystem from Bay of Fundy, Nova Scotia, Canada 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Bay of Fundy, Nova Scotia, Canada 	2003 	8 	23 	45.111668 	-64.94666 	Verified 
Gb0056449	Marine ecosystem from Gulf of Maine, Canada 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Gulf of Maine, Canada 	2003 	8 	21 	42.503056 	-67.24 	Verified 
Gb0056448	Marine ecosystem from Hydrostation S, Bermuda, Atlantic Ocean 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Hydrostation S, Bermuda, Atlantic Ocean 	2003 	5 	15 	32.166668 	-64.5 	Verified 
Gb0056440	Marine ecosystem from Sargasso Station 11 and 13, Bermuda 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-19 	Sargasso Sea 	2003 	2 	26 	31.175 	-64.32433 	Verified 
Gb0056305	Marine microbial communities from Madagascar - GS122 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Madagascar, Africa 	2005 	9 	30 	-30.898333 	40.420277 	Verified 
Gb0056304	Marine microbial communities from the Indian Ocean - GS112 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Indian Ocean 	2005 	8 	8 	-8.505 	80.37556 	Verified 
Gb0056303	Marine microbial communities from the Indian Ocean - GS110a 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Indian Ocean 	2005 	8 	6 	-10.446111 	88.30278 	Verified 
Gb0056302	Estuary microbial communities from Chesapeake Bay, Maryland, USA - MOVE858 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Chesapeake Bay, Maryland, USA 	2004 	10 	26 	38.133335 	-76.38333 	Verified 
Gb0056301	Coral reef ecosystem from Rangirora Atoll, Polynesia Archipelagos 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Rangirora Atoll, Polynesia Archipelagos 	2004 	5 	22 	-15.143611 	-147.435 	Verified 
Gb0056038	Marine microbial communities from Moorea, Cooks Bay, Polynesia Archipelagos - GS049 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Moorea, Cooks Bay, Polynesia Archipelagos 	2004 	5 	19 	-17.453056 	-149.79889 	Verified 
Gb0055891	Intertidal zone ecosystem from West coast Zanzibar (Tanzania), harbour region 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Zanzibar, Tanzania 	2005 	9 	11 	-6.116667 	39.116665 	Verified 
Gb0055890	Coral reef ecosystem from Paje Lagoon, Zanzibar, Tanzania 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Paje Lagoon, Zanzibar, Tanzania 	2005 	9 	11 	-6.3166666 	39.009167 	Verified 
Gb0055889	Marine microbial communities from Madagascar - GS123 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Madagascar, Africa 	2005 	10 	1 	-32.399166 	36.591946 	Verified 
Gb0055888	Marine microbial communities from Madagascar - GS121 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Madagascar, Africa 	2005 	9 	29 	-29.348888 	43.215557 	Verified 
Gb0055887	Marine ecosystem from Seychelles, Indian Ocean 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Seychelles, Indian Ocean 	2005 	8 	17 	-4.635 	56.836113 	Verified 
Gb0055886	Coral reef ecosystem from Coccos Keeling , Australia 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Cocos (Keeling) Islands: Home Island 	2005 	8 	3 	-12.0925 	96.88167 	Verified 
Gb0055815	Marine ecosystem from Madagascar 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Madagascar 	2005 	9 	27 	-26.035 	50.123055 	Verified 
Gb0055814	Marine ecosystem from international waters outside of Reunion Island 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Reunion Island, Indian Ocean 	2005 	9 	26 	-23.21611 	52.30611 	Verified 
Gb0055813	Marine ecosystem from St. Anne Island, Seychelles, Indian Ocean 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	St. Anne Island, Seychelles, Indian Ocean 	2005 	9 	9 	-4.613611 	55.50861 	Verified 
Gb0055812	Marine microbial communities from the Indian Ocean - GS115 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Indian Ocean 	2005 	8 	16 	-4.6625 	60.523056 	Verified 
Gb0055811	Marine ecosystem from 500 miles west of the Seychelles in the Indian Ocean 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Seychelles, Indian Ocean 	2005 	8 	15 	-4.990278 	64.97667 	Verified 
Gb0055810	Marine microbial communities from the Indian Ocean - GS113 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Indian Ocean 	2005 	8 	9 	-7.0075 	76.33139 	Verified 
Gb0055809	Marine microbial communities from the Indian Ocean - GS111 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Indian Ocean 	2005 	8 	7 	-9.596945 	84.1975 	Verified 
Gb0055808	Marine microbial communities from the Indian Ocean - GS109 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Indian Ocean 	2005 	8 	5 	-10.943611 	92.05889 	Verified 
Gb0055807	Marine ecosystem from Tikehau Lagoon, Polynesia Archipelagos 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Tikehau Lagoon, Polynesia Archipelagos 	2004 	5 	19 	-15.277778 	-148.22444 	Verified 
Gb0055695	Marine microbial communities from Polynesia - GS046 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Polynesia 	2004 	3 	27 	-9.571111 	-131.49167 	Verified 
Gb0055694	Marine microbial communities from the Tropical South Pacific Ocean - GS039 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	South Pacific Ocean 	2004 	3 	19 	-3.3433332 	-101.373886 	Verified 
Gb0055693	Marine ecosystem from Rosario Bank, Honduras 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Rosario Bank, Honduras 	2004 	1 	10 	18.036667 	-83.78472 	Verified 
Gb0055692	Marine ecosystem from Halifax, Nova Scotia, Canada 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Outside Halifax, Nova Scotia, Canada 	2003 	8 	22 	44.137222 	-63.644444 	Verified 
Gb0055506	Marine ecosystem from Cabo Marshall, Isabella Island, Equador 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Cabo Marshall, Isabella Island, Equador 	2004 	3 	2 	-0.020833334 	-91.19778 	Verified 
Gb0055505	Marine ecosystem from Wolf Island, Equador 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Wolf Island, Equador 	2004 	3 	1 	1.3891667 	-91.81695 	Verified 
Gb0055504	Marine ecosystem from North Seamore Island, Equador 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	North Seamore Island, Equador 	2004 	2 	19 	-0.38305557 	-90.279724 	Verified 
Gb0055503	Mangrove swamp ecosystem from Isabella Island, Equador 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Isabella Island, Equador 	2004 	2 	11 	-0.5938889 	-91.06944 	Verified 
Gb0055502	Marine ecosystem from Upwelling, Fernandina Island, Equador 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Upwelling, Fernandina Island, Equador 	2004 	2 	10 	-0.3011111 	-91.651665 	Verified 
Gb0055501	Marine ecosystem from Warm seep, Roca Redonda, Equador 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Roca Redonda, Equador 	2004 	2 	9 	0.27222222 	-91.63333 	Verified 
Gb0055500	Marine ecosystem from North James Bay, Santigo Island, Equador 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	North James Bay, Santigo Island, Equador 	2004 	2 	8 	-0.2 	-90.83528 	Verified 
Gb0055479	Marine ecosystem from Coastal Floreana, Equador 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Coastal Floreana, Equador 	2004 	2 	4 	-1.2169445 	-90.319725 	Verified 
Gb0055478	Marine ecosystem from Gulf of Panama, Panama 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Gulf of Panama, Panama 	2004 	1 	19 	8.129167 	-79.69111 	Verified 
Gb0055477	Marine ecosystem from Lake Gatun, Panama 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Lake Gatun, Panama 	2004 	1 	15 	9.164444 	-79.83611 	Verified 
Gb0055476	Marine ecosystem from northeast of Colon, Panama 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Colon, Panama 	2004 	1 	12 	10.716389 	-80.25445 	Verified 
Gb0055475	Marine ecosystem from Yucatan Channel, Mexico 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Yucatan Channel, Mexico 	2004 	1 	9 	20.5225 	-85.41361 	Verified 
Gb0055474	Marine ecosystem from Gulf of Mexico, USA 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Gulf of Mexico, USA 	2004 	1 	8 	24.174723 	-84.344444 	Verified 
Gb0055473	Marine ecosystem from Off Key West, Florida, USA 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Key West, Florida, USA 	2004 	1 	8 	24.488333 	-83.07 	Verified 
Gb0055472	Marine ecosystem from South of Charleston, South Carolina, USA 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Charleston, South Carolina, USA 	2003 	12 	20 	32.506943 	-79.263885 	Verified 
Gb0055471	Marine ecosystem from Cape May, New Jersey, USA 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Cape May, New Jersey, USA 	2003 	11 	18 	38.94 	-74.685 	Verified 
Gb0055470	Marine ecosystem from Newport Harbor, Rhode Island, USA 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Newport Harbor, Rhode Island, USA 	2003 	11 	16 	41.485832 	-71.35111 	Verified 
Gb0055469	Marine ecosystem from Northern Gulf of Maine, Canada 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Northern Gulf of Maine, Canada 	2003 	8 	25 	43.63222 	-66.84722 	Verified 
Gb0055448	Marine ecosystem from Bedford Basin, Nova Scotia, Canada 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Bedford Basin, Nova Scotia, Canada 	2003 	8 	22 	44.690277 	-63.637222 	Verified 
Gb0055447	Marine ecosystem from Sargasso Station 3 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Station 3, Sargasso Sea 	2003 	2 	25 	32.174835 	-64.01017 	Verified 
Gb0055446	Marine ecosystem from Browns Bank, Gulf of Maine, Canada 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Browns Bank, Gulf of Maine, Canada 	2003 	8 	21 	42.85278 	-66.217224 	Verified 
Gb0055445	Marine ecosystem from Sargasso Station 13 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-20 	Station 13, Sargasso Sea 	2003 	2 	26 	31.175 	-64.32433 	Verified 
Gb0055242	Marine microbial communities from Moorea, Cooks Bay - GS048a 	Marine 	from Global Ocean Sampling (GOS) 	2013-09-23 	Moorea, Cooks Bay, Polynesia Archipelagos 	2004 	5 	17 	-17.475834 	-149.81223 	Verified 
Gb0052297	Marine ecosystem from Coccos Keeling, Inside Lagoon, Australia 	Marine 	from Global Ocean Sampling (GOS) 	2011-01-20 	Home Island, Cocos (Keeling) Islands 	2005 	8 	1 	-12.092617 	96.881733 	Verified 
Gb0050978	Marine ecosystem from Global Ocean Sampling (GOS) 	Marine 	from Global Ocean Sampling (GOS) 	2007-12-04 	Cocos Island, Costa Rica 				5.64 	-86.56528 	Verified 
Gb0050977	Marine microbial communities from the Indian Ocean - GS112b 	Marine 	from Global Ocean Sampling (GOS) 	2007-12-04 	Indian Ocean 	2005 	8 	1 	-8.50525 	80.375583 	
